      # [ TIME START ] :	Sun Apr 10 17:52:26 2022
# =====================    CONFIGURATION PARAMETERS    =====================
     # [ ATOM_NUMBER ] :	3072
      # [ BOX_LENGTH ] :	31.3202, 31.3202, 31.3202
# =====================    ATOMIC PARAMETERS    =====================
     # [ ATOM_CHARGE ] :	-0.8476 , 0.4238
       # [ ATOM_MASS ] :	15.9994 , 1.00794
# =====================    PAIRWISE PARAMETERS    =====================
        # [ SHIFT_b1 ] :	6
        # [ SHIFT_b2 ] :	10
        # [ LJ_SIGMA ] :	3.166
      # [ LJ_EPSCLON ] :	65
     # [ LJ_SHIFT_C0 ] :	0.00277399
     # [ LJ_SHIFT_C3 ] :	-7.28056e-05
     # [ LJ_SHIFT_C4 ] :	1.12955e-05
        # [ R4PIE_EL ] :	138935
        # [ ALPHA_EK ] :	0.222222
    # [ EEL_SHIFT_C0 ] :	-0.000849351
    # [ EEL_SHIFT_C3 ] :	3.03437e-05
    # [ EEL_SHIFT_C4 ] :	-4.92204e-06
# =====================    MD PARAMETERS    =====================
           # [ DELTA ] :	0.001
      # [ TOTAL_STEP ] :	10000
      # [ CHECK_STEP ] :	10
# =====================    MD LOOP    =====================
        # LOOP INDEX          TEMPRETURE        TOTAL ENERGY             KINETIC     POTENTIAL INTER     POTENTIAL INTRA              VIRIAL
                   0              291.56            -1117.74             363.625            -1528.63             47.2666                   0
                  10             273.843            -1114.67             341.529            -1723.01             266.812                   0
                  20             287.896            -1118.36             359.055            -1659.79             182.376                   0
                  30             292.372             -1120.1             364.638            -1844.88             360.136                   0
                  40              261.94             -1114.7             326.683            -1724.87             283.492                   0
                  50             260.209            -1113.41             324.525            -1830.59             392.648                   0
                  60             300.566            -1119.73             374.857            -1650.27             155.682                   0
                  70             311.573            -1121.26             388.585            -1696.11             186.259                   0
                  80             284.764            -1115.55             355.149            -1553.14             82.4437                   0
                  90              276.11            -1113.73             344.356            -1644.64              186.55                   0
                 100             292.096            -1117.77             364.293             -1575.3             93.2446                   0
                 110             299.079            -1119.41             373.003            -1723.04              230.62                   0
                 120             291.401            -1117.44             363.427            -1707.32             226.453                   0
                 130             277.913            -1116.37             346.605            -1829.26             366.293                   0
                 140              272.45            -1116.02             339.791            -1754.07             298.255                   0
                 150             281.667            -1116.05             351.287            -1810.54             343.206                   0
                 160             298.183            -1118.29             371.885            -1681.44             191.265                   0
                 170             314.214            -1119.91             391.878            -1688.16             176.366                   0
                 180             295.825            -1116.86             368.944            -1588.64             102.837                   0
                 190             275.142               -1114             343.148            -1632.57             175.419                   0
                 200             293.388             -1116.9             365.904            -1613.95             131.141                   0
                 210              303.76            -1120.31              378.84            -1710.61             211.457                   0
                 220              291.78             -1118.2             363.899            -1723.26             241.158                   0
                 230             271.319            -1114.84             338.381             -1810.3             357.076                   0
                 240             279.253            -1115.78             348.275            -1772.18             308.124                   0
                 250             289.777            -1118.08             361.401            -1773.86             294.373                   0
                 260             298.241            -1118.27             371.957            -1690.84              200.62                   0
                 270             293.861            -1117.61             366.494            -1666.84             182.734                   0
                 280             301.075             -1117.2             375.492            -1612.42             119.731                   0
                 290             295.342            -1116.19             368.342             -1639.5             154.965                   0
                 300             294.062            -1116.33             366.745             -1641.5              158.43                   0
                 310             302.343            -1118.43             377.073            -1715.28             219.784                   0
                 320             301.726            -1118.93             376.304            -1739.92             244.685                   0
                 330             278.635            -1116.36             347.505            -1785.33             321.469                   0
                 340             279.155            -1115.12             348.154            -1777.41             314.137                   0
                 350             287.469            -1117.14             358.522            -1756.83             281.161                   0
                 360             308.569            -1119.08             384.838             -1698.9             194.974                   0
                 370             302.131            -1118.14             376.808            -1665.41              170.47                   0
                 380              295.62            -1116.29             368.688            -1628.35             143.373                   0
                 390             288.207            -1116.02             359.443            -1634.28             158.815                   0
                 400             294.435            -1117.41              367.21            -1650.99             166.366                   0
                 410             300.584            -1118.69              374.88            -1711.44             217.878                   0
                 420             296.352            -1118.09             369.601            -1747.91             260.218                   0
                 430             276.445            -1116.19             344.774            -1771.07             310.107                   0
                 440             278.288            -1115.73             347.072            -1768.35             305.545                   0
                 450             287.164            -1117.47             358.142            -1742.48             266.864                   0
                 460             298.817            -1118.78             372.675            -1689.73             198.273                   0
                 470             298.049            -1117.87             371.718            -1658.08             168.491                   0
                 480             288.658             -1116.4             360.005            -1623.98             147.573                   0
                 490             293.045            -1116.38             365.476            -1638.42             156.572                   0
                 500             299.112            -1117.48             373.043            -1662.94             172.414                   0
                 510             299.011            -1118.35             372.917             -1703.4              212.13                   0
                 520             286.202            -1117.89             356.943            -1733.71             258.874                   0
                 530             279.053            -1116.45             348.026            -1763.01             298.534                   0
                 540             279.084            -1115.77             348.065            -1764.55             300.718                   0
                 550             286.327            -1117.11             357.098            -1733.46             259.256                   0
                 560              296.66            -1118.75             369.985            -1691.79             203.054                   0
                 570               296.1             -1118.1             369.286            -1651.82             164.431                   0
                 580             286.081            -1116.24             356.791            -1634.43             161.395                   0
                 590             281.422            -1116.11             350.981            -1630.74             163.652                   0
                 600             294.176            -1117.74             366.887            -1665.39             180.769                   0
                 610             295.866            -1118.46             368.995            -1699.72             212.267                   0
                 620             289.292             -1117.4             360.796            -1742.63             264.434                   0
                 630             277.901            -1116.29             346.589            -1754.77             291.893                   0
                 640             284.366            -1116.47             354.652            -1760.54             289.424                   0
                 650             291.418            -1117.52             363.448            -1730.84              249.87                   0
                 660             299.376            -1118.19             373.372             -1698.4             206.837                   0
                 670             295.665            -1117.63             368.744            -1661.84             175.471                   0
                 680             289.681            -1116.54             361.282            -1645.21             167.385                   0
                 690              290.12            -1116.48             361.828            -1655.49              177.18                   0
                 700             296.969            -1117.58              370.37            -1673.05               185.1                   0
                 710             299.757            -1118.24             373.847            -1716.25              224.16                   0
                 720             292.884            -1117.45             365.276            -1742.03             259.302                   0
                 730             287.181            -1116.36             358.164            -1766.81             292.281                   0
                 740             286.273            -1116.49             357.031            -1753.09             279.575                   0
                 750             289.151            -1117.58              360.62             -1726.7             248.502                   0
                 760             298.186            -1118.14             371.889            -1687.47             197.444                   0
                 770             301.748            -1117.46             376.331            -1672.44             178.648                   0
                 780             291.973            -1116.61              364.14            -1645.79             165.044                   0
                 790             293.767            -1116.82             366.377            -1655.38             172.189                   0
                 800             300.732            -1117.65             375.064            -1681.24              188.52                   0
                 810             299.493            -1117.91             373.518            -1714.98             223.557                   0
                 820             292.781            -1117.23             365.147            -1740.39             258.015                   0
                 830              286.64            -1116.71             357.488             -1752.3             278.105                   0
                 840              289.91            -1116.95             361.567            -1749.94             271.426                   0
                 850             296.103            -1117.42              369.29            -1729.12             242.407                   0
                 860             297.924             -1117.7             371.562            -1695.79              206.53                   0
                 870             293.253            -1117.63             365.736             -1662.6             179.238                   0
                 880             289.296            -1117.05             360.801               -1646             168.143                   0
